Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
115,,14.050000000000002,4.229540826558959,-32.959697125736035,6.06956470482573,3.427457038742563,21.371982310026954,74.0,209.75302491103204,230.0
116,,4.515000000000001,2.3976397862229555,50.20457666079056,3.049762939125294,1.947625983937189,9.294722215136415,105.0,205.78848283499445,233.0
117,,19.437500000000004,4.974795840111404,-59.05352137024004,6.846217578840992,3.9455745229054253,21.700104602052654,79.0,216.6634083601286,241.0
118,,2.8625000000000007,1.9090961727488756,87.18837471665354,2.4651476066934137,1.6312099217749254,8.629036790187177,67.0,205.3650655021834,224.0
119,,71.06000000000002,9.511908433583697,-33.92148063119624,13.469698957643814,7.626825947860137,55.95970234602949,75.0,209.22614691809738,237.0
120,,2.0250000000000004,1.6057117045374942,38.29958880544654,1.88260335086753,1.5130935985573502,6.721930009000632,123.0,204.0641975308642,220.0
121,,6.7825000000000015,2.938664188396871,-21.65727132408671,3.6196691702867776,2.46652148738643,11.244417382415921,69.0,210.82860302248434,228.0
122,,15.247500000000002,4.406100311880041,25.060513101548228,6.3752584439288,3.631308292459968,22.803048327204937,85.0,202.20462370880472,220.0
123,,2.8200000000000007,1.8948708441878457,69.36330512956197,2.214928489726681,1.718414288052506,7.373401871576774,152.0,206.2535460992908,221.0
124,,7.330000000000002,3.0549706811864406,66.45971502741594,3.5494432377698892,2.8023945770237972,11.717514421272204,128.0,201.65347885402457,231.0
125,,22.510000000000005,5.353561632407768,38.76248646440886,11.278067703337666,3.27014516221516,30.228226894078354,74.0,205.66981341625944,230.0
126,,21.080000000000005,5.180722884213866,58.86055476382808,8.182210066406139,3.9235429729035225,26.116094859722388,90.0,203.36408918406073,224.0
127,,5.977500000000001,2.758765915886021,-76.53824899922078,3.925381706968194,2.1025762656388447,12.229341622907674,104.0,203.58343789209536,217.0
128,,2.7550000000000003,1.872905482330962,10.709705162441754,3.192033112563067,1.1546110925157735,8.6698484809835,120.0,201.5480943738657,220.0
129,,0.8225000000000001,1.0233472165128858,-15.735948413942927,1.3102108031080304,0.8802485827536114,3.7624368670764583,161.0,203.29179331306992,217.0
130,,6.802500000000001,2.9429937144107097,10.16271952708114,4.700589531868745,2.28051448167018,16.0734541726031,84.0,204.53583241455348,226.0
131,,4.235000000000001,2.322104535104614,-8.06279322685879,3.920519939988227,1.6465484774534034,10.899747468305833,93.0,202.7910271546635,236.0
132,,9.287500000000001,3.438780637337576,-12.20961931096054,3.905925378925011,3.110810588750419,13.35538238691624,104.0,208.250067294751,234.0
133,,0.21250000000000005,0.5201570947860099,69.65865034866036,0.75574752096443,0.39649154612401766,1.8760407640085655,166.0,206.61176470588236,214.0
134,,1.9375000000000004,1.5706373285785544,-10.737035762501106,1.9862018597461835,1.302302272424186,6.285229073212244,119.0,203.8309677419355,222.0
135,,3.6525000000000007,2.1565035212457184,31.73446470117841,3.643694457501105,1.3231585200627838,9.89294551983978,83.0,204.1368925393566,229.0
136,,1.0625000000000002,1.1631066229203195,39.81931087030742,1.595975227977541,0.9260381132831252,4.528122292025697,152.0,195.3294117647059,208.0
137,,2.8775000000000004,1.9140916357310147,86.18501696454764,2.653071187002156,1.5275728021902601,9.46659992311072,115.0,210.91920069504778,229.0
138,,72.97250000000001,9.639059740357805,75.9608742776814,21.05549399103307,9.600669463526874,84.85797795175918,32.0,214.64085785741204,255.0
139,,5.880000000000001,2.7361740666563517,-70.99878504135003,3.3034231227429647,2.5349868635371724,11.376093065034894,67.0,208.37925170068027,231.0
